file_name,caption_number,caption
Noise Monster 7.wav,caption_1,"Animals are roaring, growling and snoring repeatedly with some sound effects applied to the noises."
klotsend ad veerpont ii.wav,caption_1,Bubbles float to the surface of the water as someone plays in the sink.
landschap3.wav,caption_1,A person is jogging closer and exhaling with exertion.
Summer Ambiance .wav,caption_1,A few birds chirping during an ominous breezing wind.
lakeside birds 2.wav,caption_1,A river runs in the background while multiple birds makes noises.
"Shopping Mall, ambience.wav",caption_1,As everyone laughed and talked dishes and silverware were pinging.
rbh train freight by.wav,caption_1,A approaching train arrives and then without stopping passes by.
Static buzz_ Jet Take-off.wav,caption_1,A car tire is losing its air throughout.
squeaky metal swing.wav,caption_1,A creaky door slowly revolving back and forth.
feed back.wav,caption_1,A high screeching tune is playing is with varying pitches.
Ferry II.wav,caption_1,A machine is constantly running as people are talking in the back.
Plastic Scraping On Wood Floor.wav,caption_1,Birds or small animals are rustling around in outdoors.
Footdrags Dirt.wav,caption_1,A person is hiking on a dirt terrain.
Toy Car.wav,caption_1,A mechanical whirring resonates with brief pauses of silence
FOREST-SOUNDS.wav,caption_1,A group of birds are chirping when they are interrupted by a loud caw.
Gas Oven.wav,caption_1,A person adjusting a gas flame and tinkering in the background.
glissando1b.wav,caption_1,A bell tolls in a vibrating cyclical tone while a scraping occurs.
gym machine.wav,caption_1,A machine motor runs at varying frequencies while paper or something thin passes through.
Hand-held shower head handling .wav,caption_1,A person using a hard object to tap and scrape glasses.
MrM_OldAutoFocus_Nikon2020.wav,caption_1,An buzzing ratchet is set in place of its harness as the jack in the box jumps out.
Interior Plane Taking Off.wav,caption_1,"A fan is blowing indoors, while a mother and child are playing outdoors."
twohoundsbarking.wav,caption_1,An agitated pair of dogs bark at each other.
WILDTRACK Mixed woodland in Minnesota USA.wav,caption_1,"A bird has been squawking continuously, and then the other birds whistle."
Static sputtering noises 1.wav,caption_1,A static with a high pitch coming from a television.
Ketchup Farts #2.wav,caption_1,A liquid is completely squeezed out of a tube.
Serving Water Slowly.wav,caption_1,A glass is placed on a hard surface and liquid is poured into it.
Knocking at door.wav,caption_1,A person is in an enclosed room knocking on a door.
LittleChild_WoodenFloorFootsteps_01.wav,caption_1,A hammer is pounding quickly then slows down towards the end.
MagnusSmallElectrWindOrgan.wav,caption_1,A person playing a harmonica varies between different pitches.
Metal_Workshop_3.wav,caption_1,A drill is being used and then a piece of metal clatters to the ground.
"Ninos y monitores en el comedor, catalan_castellano.wav",caption_1,A family is speaking to each other while dishes are clanging in the background and a chair is moved.
Plane Edge540 Hannes Arch.wav,caption_1,"A plane flies by, and people politely clap."
practice.wav,caption_1,A breath heavy with a sigh accompanies a crackling fire
treefrogs.wav,caption_1,A machine is turning back and forth continuously.
SYnth_NoisesAV.wav,caption_1,"A broadcast that is not able to be discerned, with bad audio."
Plunger Pop.wav,caption_1,A wine bottle popping open with sparkles and popping again.
rum.wav,caption_1,"A water bottle has water on top of the ice inside of it, and a lid is securing the bottle."
texture04.wav,caption_1,A bug zapper killing bugs while a heat and air unit is running.
_01storm - orage.wav,caption_1,"As the man left the building, strong wind blew, rain began to fall and thunder boomed in the distance."
klk2.wav,caption_1,"A descending electric tone sounds repeatedly, accompanied by some ascending electronic tones."
01 car sequence.wav,caption_1,A vehicle slowly approaches from distance while steam is emitted from a large machine.
01 residential elevator with door open and close.wav,caption_1,An electric warning buzzer is beeping and the movement of an elevator nearby.
"Auto, ajo vedessa, maastossa _ A car, jeep, atv, slow drive on a difficult, wet terrain, brief stop.wav",caption_1,A continuous buzzing sound is being generated from a high altitude.
Tapping on metal.wav,caption_1,"A person hammers two metal objects against each other, alternating between fast and slow strikes while a soft wind blows."
02763 inside damaged chopper.wav,caption_1,A dangerous sharp blade on the machine that keeps spinning and spinning around.
Walking In Snow.wav,caption_1,A large pile of leaves was spread around by a pedestrian.
Infernal Wind.wav,caption_1,A race car is racing around the track and leaves an odd reverb.
BEACH_SMALL_SAND.wav,caption_1,Several waves of water in a lake on the shore
04638 heating bleeding valve.wav,caption_1,A person is using a tap to fill in some kind of jar of bottle.
05687 morning birds ambience.wav,caption_1,A fly whizzes by while birds are chirping and a person takes a few breathes.
070821_flsp_trail03.wav,caption_1,A very light vibration like beeping is being emitted.
shop cash register 01.wav,caption_1,Objects are being moved around followed by a whisper.
Rain on Car Roof 2.wav,caption_1,"A steady rainfall drips onto a lower, pitched roof without splashing."
081019_02_machine_engine.wav,caption_1,Air gushes out of an exterior dryer vent.
09 hn_handrail.wav,caption_1,A pipe being hit with a small wrench.
1 man running on pavement.wav,caption_1,A man was running across the wooden floor.
Sound_FX_Kitchen_Plates.wav,caption_1,A person collecting dishes and putting them away.
elderly_meeting.wav,caption_1,"A male voice is most prominent among distance, echoing conversation between multiple people."
12 noon church-bell 140310_0121.wav,caption_1,A church bell rings while birds and other wildlife like the owl chirp in a chorus.
Water2.wav,caption_1,"A mechanical hissing noise dissipates and then comes a muffled, ambient melody that gets louder as time progresses."
1290 am static jumble.wav,caption_1,A piece of machinery is causing a loud mechanical engine like sound.
Nails crackle 3.wav,caption_1,A person was pulling out a screw from a wooden plank.
voice.wav,caption_1,A woman is softly singing a song about something.
130915 - Interior-Hard Rain with 2 Skylights.wav,caption_1,A belt turns quickly in a fast moving conveyor system.
rain and storm outside the window.wav,caption_1,Beautiful rain drop sounds are from the wild.
16 hn_meltingsnow.wav,caption_1,A light rain falls and the water hits the pavement.
16 Little Beat.wav,caption_1,A repeating bass thump underscores the continuous sound from a recorder of a child.
16. Toilet paper roll and ripping.wav,caption_1,Shuffling followed by a zipper being zipped and a voice talking.
160928_0051 rain.wav,caption_1,During the rainstorm the windows of the car was left opened so it rained on the window sill.
outdoors ambient windy wind leaves rustle 2.wav,caption_1,A person is cleaning up leaves with a rake while rainfall is pouring down.
20060426.marsh.house.ambiance.wav,caption_1,A variety of birds are chirping in an open space while a radio controlled toy aircraft is flown nearby.
20060802.waders.truck.wav,caption_1,A plane takes off a run way and flies into the air.
20060810.peters.clock.01.wav,caption_1,A mechanical clinking resonates at a steady pace as time goes on.
Oct-18th-Drm-3A1.wav,caption_1,A distorted drum or similar instrument is played.
20061121.pee.wav,caption_1,A person is peeing outdoors as insects hum.
20061124ParadeCHS.wav,caption_1,A marching band is loudly playing a song with drums and cymbals.
Collob church bells 2.wav,caption_1,A church bell rings consistently and echoes around.
20061208.waves.02.wav,caption_1,A person wades and treads in the water.
20061214.stapler.wav,caption_1,A man swings a swatting object against a wall.
20061214.wrench.02.wav,caption_1,A person is making a cranking sound with a wrench.
20070318.dirt.road.wav,caption_1,A car approaches and the car passes by.
SFX_CHEERS-Bottle-CLANK_Beer-n-Wine.wav,caption_1,A glass is struck with a metal spoon and a man says cheers.
20070618 032137 treinreis.wav,caption_1,A train is shaking on its journey and is rattling on its tracks.
20070620 092618 front garden sultan palace jogjakarta.wav,caption_1,A caged bird sings a lonely song amid mumbling human conversation.
20071229.cooing.wav,caption_1,"A creature making a noise throughout, background of a woman talking and shoes making noises walking on a hard floor."
buzzing bee 3 multi.wav,caption_1,A bird is chirping loudly while a bumble bee is buzzing in the background
quick walk.wav,caption_1,A hard gravel ground is walked on by someone .
crowd2.wav,caption_1,A crowd of people in a public place
20080505_1306playground01.wav,caption_1,Birds sing while children loudly play outside near them.
20080614.bells.wav,caption_1,A bell is rung a couple of times and birds are tweeting.
20080702.marsh.crickets.snippet.wav,caption_1,Crickets are chirping and tree frogs are croaking.
20080805.birches.n.birds.01.wav,caption_1,A crow caws and many song birds sing.
CuttingOnion.wav,caption_1,A person is using a cutting board to cut up potatoes.
20090501.horse.neigh.wav,caption_1,A horse whinnies and birds sing outdoors with people talking in the background.
Elektron Analog Rytm Beat &gt; Redson EC-25 8-track tape echo.wav,caption_1,A synthesized drum and a loud reverb echo of it.
Group running in sync on concrete.wav,caption_1,A horse runs loudly on a dirt track.
breaking_small_window.wav,caption_1,"A vehicle glass repeatedly hit a metal rod, breaking glass with multiple strikes, then the rod drops to the ground."
20091224.bells.03.wav,caption_1,A bell is being rung very loudly from a church bell.
perafan_felipe_antropo_fonia_imprimiendo.wav,caption_1,A person in a room turning on and operating a copy machine.
20091225.rain.wav,caption_1,Rain falling down onto a house or building.
20092007.strike.wav,caption_1,Explosions are going off in the distance repeatedly.
folding and crumpling paper.wav,caption_1,"Moving your hand on it, rustling papers around a little bit and then folding up a piece of small paper."
Noisy Hotel Bathroom Fan (starts + stops).wav,caption_1,"A loud crack, a motor starting, another loud crack, and then the motor slowing down."
wind_howling_01.wav,caption_1,A whir of wind zooming by during a gloomy windy afternoon.
Crowd Laughing.wav,caption_1,A crowd start laughing before someone claps and they laugh two more times.
Train Passby Right to Left with Horn Short 02.wav,caption_1,A train blows its whistle and then the train gets louder as it passes by.
waterfall.wav,caption_1,"A continuous static sound is playing, never changing noise level."
20101206.06.seagulls.wav,caption_1,"A variety of birds sing different songs, and one of them gets louder."
Small_Refrigerator_Refrigeration-For_Freesound.wav,caption_1,"A constant, deep, low hum is emitted from and sustained by a machine."
InsectsLateSummerCacheRiverSep92012.wav,caption_1,A cluster of crickets are chirping with increasing intensity.
cooling unit close up 1 san diego 2013.wav,caption_1,A factory conveyor belt is running as tasks are carried out on the items on it.
20130405_wooden.stairs.floor.01.wav,caption_1,A person is walking up some stairs then through a hallway.
Davis.wav,caption_1,Air blowing with occasional stronger feedback when it is more forceful
bebops_water1.wav,caption_1,"Gentle, soft waves repeatedly lap the shoreline on the beach."
20160326_103240.wav,caption_1,Bagpipes and drums playing continuously over a period of time.
Town Square Ambience.wav,caption_1,A honking care horn drowns out the chattering of city birds.
atm money bank machine.wav,caption_1,"A car horn beeps while cars drive on the road, then a door is open and beeping occurs."
outro-dia-mais.wav,caption_1,"Alarm beeping slowly and then beeping at a faster rate, alarm then turned off."
Ext-amb_late-fall-night_Distant-Dog-going-bizerk-fallcrickets.wav,caption_1,A dog begins barking as a few birds chirp and water continuously flows.
Rusty old boat.wav,caption_1,A door creaks and squeaks as it opens and closes.
2HorseCartsGheoghieni.wav,caption_1,Birds are chirping and a horse is walking on the street.
30 seconds after (Mike Marsh).wav,caption_1,A woman gasps and dials her phone as she walks and then starts running as a siren passes.
34_ELEVA.wav,caption_1,A metal banging and then people walking into an empty room near it.
53 blackhead_minifjord_closeup.wav,caption_1,A plane is flying overhead while someone is in the bathroom taking a bath.
96 stock.wav,caption_1,"Faint, sweeping strokes resonate while a train rumbles on in the background."
Forbidden Purr01.wav,caption_1,A cat is purring and breathing in and out.
"a gentle breeze, wind 2.wav",caption_1,A car was driving off at a high speed.
copenhagen atmosphere around fountain 2012-07-10.wav,caption_1,A family rides on top of a bus with two levels.
abstract-train.wav,caption_1,A UFO is on earth and taking off
Light Rain Home.wav,caption_1,A hole in a roof is dripping water.
Birds Singing in a Small Town During Morning.wav,caption_1,"A bird is tweeting, and a strong wind is blowing at the end."
AGFA_1.wav,caption_1,A man moves things round inside a car while the engine is running.
air bubbles on the surface of the water.wav,caption_1,Bubbles percolating and popping as a liquid boils.
air pedal_001.wav,caption_1,A fishing rod is being reeled in with rustling near by.
creaky-stove-door.wav,caption_1,A child speaks softly as a door slides back and forth.
All bells ringing at Notre-Dame in Paris.wav,caption_1,Church bells are going off and people are talking in the distance.
Christmas market Neptunbrunnen 03 111223.wav,caption_1,A large crowd of people chatting outdoors with musical instruments playing in the background.
AMB_Int_Rain_Auto_001.wav,caption_1,"A wagon is being driven by a bunch of horses, with their hoofs clanging on the ground."
"Ambience - Merri path, trees and birds, gentle wind.wav",caption_1,"Birds chirp as cars drive by in the background, then some footsteps and more chirping."
Ambience Coffee Shop 3 .wav,caption_1,"A crowd of people talk, clink glasses and eat at a restaurant."
Ambience-Centre of a busy mall.wav,caption_1,People are milling around in an airport and muttering to themselves as they cart screeching luggage around.
Deep Space (Cinematic Soundscape).wav,caption_1,"A creepy movie soundtrack features weird music, thumps, and scary bumps."
ambient_bcn_glories.wav,caption_1,A busy city day with public transportation is happening.
glass scraping_ST.wav,caption_1,A metal object is sliding and squeaking for a long distance
walk_on_bed.wav,caption_1,A tent is being pitched and stretched tight.
police_car_siren-esp.wav,caption_1,A siren with a high pitch was blared multiple times
angry squirrel.wav,caption_1,A baby animal crying for food or its mom attention.
Announcement Rotterdam Centraal 090408.wav,caption_1,A man is talking over a radio device.
Japan_Kashiwa_Friend-LeafWhistle_Lawnmower.wav,caption_1,"A lawnmower roars in the distance, and a dog whines."
STE-040 italian police siren.wav,caption_1,"A vehicle, with a siren, is moving quickly and loudly, among over vehicles."
Grasshoppers during a storm.wav,caption_1,Loud waves are crashing off a rocky beach.
"Atmo Public Swimming Pool Entrance, Germany.wav",caption_1,A woman and man are talking and metal bangs around toward the end.
attic_fan_contact.wav,caption_1,A object is spinning with a squeaky part.
Automatic coffee machine.wav,caption_1,A coffee machine is dripping coffee while the froth is being made.
baby bell rattle 05.wav,caption_1,A chime is sounded in a melody of increasing scales.
baby_voice_11months(11).wav,caption_1,A baby is babbling and cooing and a person is whispering quietly in the background.
bacardi-open-and-close.wav,caption_1,A small plastic or styrofoam piece being squeaked.
background2(bar or pub).wav,caption_1,A boisterous crowd talks loudly and periodically laughs.
Slide.wav,caption_1,A wooden file being dragged and tapped against a wooden surface.
backyard.wav,caption_1,At night crickets chirp in a very grassy area.
Bad com link sound.wav,caption_1,"A radio station comes in and out of tuning range, making static and beeping sounds."
Wet Towel Floor Impact Punch Drop Bag Cloth.wav,caption_1,A hammer being struck on a large board.
FRIDGEJOHANNAHOME.wav,caption_1,A door is open and shut multiple times as a machine hums.
Fenway Park Sep 19 2010.wav,caption_1,"A man is shouting while people talk while in the background, others are loudly cheering."
stepshh.wav,caption_1,"A ball is hit, then a man grunts while the ball continues on."
Childrens Play Park.wav,caption_1,"A large number of women and their children assembled in a small area, chattering away in a dozen different conversations."
BANISTER_FLOOR CREAK.wav,caption_1,A person is doing a reading on a show with many creaking noises.
Office Ambient Sound.wav,caption_1,A banjo faintly plays in the background with singing emanating from a radio as a woman speaks.
dare16_orchestral_scape2.wav,caption_1,"A musician is warming up, sometimes getting loud and then becoming quiet again."
bareboneshowling.wav,caption_1,A large number of dogs howl while guitar plays in the background.
spoon tapping glass.wav,caption_1,An object crashes into another object and a ringing sound fills the air.
Short Hailstorm.wav,caption_1,Heavy rain and hail are hitting a window
Bathroom wash face.wav,caption_1,A man is speaking in a calm tone.
Bathtub_water-gentle-swish.wav,caption_1,"A child is playing around in the bathtub, moving water around with their hands."
"Beach Waves, Praia Grande.wav",caption_1,A very heavy rain falling on the metallic roof of a building
BEACH_BIG WAVES_STORM.wav,caption_1,The wind howls very loudly as a car drives by.
STE-027FIRE.wav,caption_1,A person walking through grass while a campfire burns and a person speaks over an intercom.
pages turning.wav,caption_1,A deck of cards is shuffled a few times.
Beer Pong Sounds ball table and cups.wav,caption_1,A lock in a very old door is ticked to check out its internal parts.
Spain Holland 1-5 140613_00.wav,caption_1,A crowd of people see the New Year in the streets of the city while cheering and celebrating.
bell cbn2 b1 89.wav,caption_1,A bell is humming and echoing at different frequencies and times.
bell gong urban park.wav,caption_1,A gong is hit three times while cars drive in the background.
dmv - &#39;now serving&#39;.wav,caption_1,"A crowd is talking, and a voice is speaking over an intercom."
Bells at level crossing.wav,caption_1,A bell is sounding as a motorboat pulls in to the dock.
bellsequence.wav,caption_1,A slow melodic chime being struck in a variety of notes.
Playing with Washers.wav,caption_1,A person rattles some coins in their hands.
petrol station filling up car.wav,caption_1,A car creaking and driving away as someone operates a machine engine.
big bubbles on water.wav,caption_1,A drain is opened and gurgling water drains down it.
BIG DOG EATING_Dog Eating out of metal bowl (SFX).wav,caption_1,A horse eating from a metal bucket and producing a clanging sound while feeding.
Big Sur Pfeiffer Beach Park Stream.wav,caption_1,Large amounts of running water splash into a pool as time goes on.
Vinyl record noise.wav,caption_1,A record has reached the end of a song and is waiting to start over.
LoaderTruckOutsideHouse.wav,caption_1,A hallow drum moving around with objects in it.
Bird-slips-out-of-egg.wav,caption_1,A bird is cracking open seeds and then the baby birds cry for food.
birds and wind 13.wav,caption_1,A variety of different birds are singing and chirping.
Birds In A Cage On Antibiotics.wav,caption_1,A bird is chirping and people are working and talking about in the background.
birds near river.wav,caption_1,A bird chirping in the foreground as water is flowing in the background.
franco_hernan_geo_fonia_riachuelo_santa_elena_corregimiento_medellin.wav,caption_1,A water fountain splashes and blows around in the wind.
Blackcap.wav,caption_1,A variety of birds are chirping and singing.
flapping Bird.wav,caption_1,"A large bird flies away, after a man speaks."
unreal atmosphere x20mi2b.wav,caption_1,A blaring crackling interspersed with a high pitched whine.
eating biscuits1.wav,caption_1,A package is opened and a person is chewing on food.
Machetes sliding 2.wav,caption_1,A pair of swords are being clanged one against the other.
bled_island2.wav,caption_1,A splashing in and through water occurs repeatedly.
boca.wav,caption_1,Children are talking while other children are playing a ball and paddle sport.
"Boleskine, forest brook.wav",caption_1,A pool is being filled with water using a hose pipe.
bottle filling up.wav,caption_1,Constant water sound flowing from a faucet into a sink.
indoors house ambient more silent room tone.wav,caption_1,A person going through a door at a restaurant while dishes clang and people talk.
radio-waves-surround-sound-front.wav,caption_1,A radio is being changed between multiple stations without settling on one.
bridge demolition pounding.wav,caption_1,A machine has material on it and is being pressed down very hard.
Brooklyn Residential Street.wav,caption_1,A bus lowers it front end for passengers to exit and board while people talk and a vehicle drives by.
brownnoise.wav,caption_1,A breeze moving by and a static overtone of wind and other.
rain in pipes.wav,caption_1,Oil sizzles in a frying pan and a cup is set down on counter.
bugs buzzing loud.wav,caption_1,A cricket is chirping and increases in volume not stopping.
High pitched drilling.wav,caption_1,A drill powers up and drills through something loudly.
Bus driving.wav,caption_1,A car driving down a bumpy road at a steady pace.
GarbageTruck.wav,caption_1,A big truck beeping while going in reverse.
Wind and Traffic Ambience.wav,caption_1,A gentle wind blows a traffic passes on a nearby road.
weekend03.wav,caption_1,A loud bumping around followed by a crumpling sound.
coffee can.wav,caption_1,A can opener is being used to open a can and the lid is then removed.
buzzy static.wav,caption_1,A steady and high pitched mechanical sound fades into white noise accompanied by muffled voices
Typing on a typewriter with ding at end of each line.wav,caption_1,"A person types on a typewriter, pulls it back, and types again."
church-eglise #1.wav,caption_1,A strong wind howls while people chatter in the background
California morning birds singing.wav,caption_1,A lot of birds are chirping loudly along with each other.
cambridge_train_station_02_shelter_water_2005.wav,caption_1,Liquid dripping and people talking in the background.
djf_burps.wav,caption_1,A child burps five times and another child laughs.
PS3F_FOZ_centro_RuaNaipi_Noite.wav,caption_1,A canine woofs at an approaching automobile while a young boy talks.
Nightingale.wav,caption_1,A number of birds are chirping as the video goes on.
Canarian_Bird_In_Cage_Singing_2.wav,caption_1,A bird is whistling and it speeds up and slows down its voice.
"ICE passing by, then an ambulance with siren.wav",caption_1,A passenger is riding on a trolley train while ambulance sirens blare by.
Lincoln Nebraska Tornado 5 9 2016.wav,caption_1,A plastic pipe is being turned at high speed creating whistling and humming noises.
Some Sort of Engine 1.wav,caption_1,A long steady vibration is made by a motor
Stoney_StormyC_Nov12.wav,caption_1,A jet sound roars continuously and then gets a bit louder.
Car wash.wav,caption_1,A train runs over tracks as the air in the cabin is pressurized.
maskingtape.wav,caption_1,A radio produces a white noise and malfunctions as a voice tries to communicate.
Car_Keys.wav,caption_1,A clank of chains winding towards the ground to be collected at the bottom.
Radio annoyance.wav,caption_1,A lot of static followed by a song playing during slightly less static.
Country Stream (2).wav,caption_1,Water flowing in a creek at a fast pace.
Cardiff Bay fireworks.wav,caption_1,Fireworks go off continuously as kids talk and shout in the background.
Cardinal Key West.wav,caption_1,A bird is calling and chirping twice using a repeating pattern.
cartwheel suitcase plastic wheels rolling on tiled pavement floor plock tock with ambient outdoors.wav,caption_1,A person dragging a suitcase along a hard surface.
"Fly fishing - winding in reel fast, slow.wav",caption_1,"A a wind up is wound faster, then slower."
Matches.wav,caption_1,"A match is removed from packaging, lit, the fire burns for a moment and fades, then this all repeats."
